Login (4 letter code),Password,University Name
AFIE,pea,AFI Escuela de Finanzas
BABS,winter,Babson College
BRCH,warner,Baruch College
BHKU,universal,Beijing Normal University and Hong Kong Baptist University United International College
BSTN,disney,Boston University
CRNG,paramount,Carnegie Mellon University
CHUL,english,Chulalongkorn University
CITY,tomato,City University of Hong Kong Department of Economics and Finance
COLB,corn,Columbia University
CNCD,red,Concordia University
DALU,orange,Dalhousie University Rowe School of Business
DARC,yellow,Dartmouth College
DUKE,hockey,Duke University
FAIR,cucumber,Fairfield University
IIMR,chanel,Indian Institute of Management Raipur
LUIS,baseball,LUISS Guido Carli University of Rome Department of Economics and Finance
MITT,carrot,Massachusetts Institute of Technology
MCGL,blue,McGill University Desautels Faculty of Management
MAST,dell,McMaster University
NYUE,linux,New York University Master of Science in Financial Engineering
NAIT,alienware,Northern Alberta Institute of Technology J.R. Shaw School of Business
OKLA,mac,Oklahoma State University Spears School of Business
PENN,potato,Pennsylvania State University Smeal College of Business
PRIN,king,Princeton University
PURD,soccer,Purdue University
QEEN,prada,Queen's University Smith School of Business
QUIN,target,Quinnipiac University
RUTG,football,Rutgers University Master of Quantitative Finance
RYSN,basketball,Ryerson University
TRIN,queen,Trinity College Dublin Trinity SMF
TULA,prince,Tulane University
UNST,princess,Ulsan National Institute of Science and Technology
UCSC,proof,Università Cattolica del Sacro Cuore
LAVL,argument,Université Laval
DUBL,solution,University College Dublin
UOFA,gucci,University of Alberta
CALG,function,University of Calgary
BRKY,hypothesis,University of California Berkeley
UCHI,confidence,University of Chicago
UOFI,circle,University of Illinois at Urbana-Champaign College of Business
UIBE,green,University of International Business and Economics
LETH,triangle,University of Lethbridge
UONB,square,University of New Brunswick
UOIT,polygon,University of Ontario Institute of Technology
OTWA,oval,University of Ottawa Telfer School of Management
UNSA,cricket,University of South Africa Department of Finance Risk Management and Banking
UOFT,tectangle,University of Toronto
UVMC,summer,University of Virginia McIntire School of Commerce
WATL,spring,University of Waterloo
WASH,fall,Washington University in St. Louis Olin Business School
WEST,ferrari,Western University
LAUR,blackberry,Wilfrid Laurier University
